id,name,score,timestamp,category
64,Amityville: A New Generation (1993),1,878844423,Horror
65,I.Q. (1994),3,878183512,Comedy
66,"Birdcage, The (1996)",5,891384789,Comedy
67,Dante's Peak (1997),4,891732335,Action
68,Stalingrad (1993),2,886892127,War
69,"Birdcage, The (1996)",3,879456204,Comedy
70,East of Eden (1955),5,891352010,Drama
71,"Perfect World, A (1993)",5,874835165,Action
72,Apollo 13 (1995),3,879792220,Action
73,Fried Green Tomatoes (1991),5,878347915,Drama
74,"Crow, The (1994)",1,879374969,Action
75,Leave It to Beaver (1997),1,891409564,Comedy
76,Henry V (1989),4,879517062,Drama
77,Schindler's List (1993),5,877124871,Drama
78,Arsenic and Old Lace (1944),4,892738277,Comedy
79,Fly Away Home (1996),5,880484286,Adventure
80,"Hunt for Red October, The (1990)",4,878542441,Action
81,"Birdcage, The (1996)",5,876954456,Comedy
82,Liar Liar (1997),4,874786366,Comedy
83,True Romance (1993),5,888204997,Action
84,"Sting, The (1973)",5,877720733,Comedy
85,Unforgiven (1992),4,883955224,Western
86,"Secret of Roan Inish, The (1994)",4,883601713,Adventure
87,"Rainmaker, The (1997)",3,880601905,Drama
88,"Boot, Das (1981)",1,888801316,Action
89,In & Out (1997),4,891680028,Comedy
90,Renaissance Man (1994),3,886989501,Comedy
91,SubUrbia (1997),3,888465209,Comedy
92,Heat (1995),4,878019342,Action
93,Con Air (1997),5,885678724,Action
94,"River Wild, The (1994)",5,880307072,Action
95,Dirty Dancing (1987),2,878542201,Musical
96,Groundhog Day (1993),3,877128388,Comedy
97,Ransom (1996),3,883450643,Drama
98,"Fifth Element, The (1997)",1,879023607,Action
99,Akira (1988),3,888625754,Adventure
100,Showgirls (1995),4,876374419,Drama
101,"Grifters, The (1990)",4,882995615,Crime
102,Miller's Crossing (1990),4,884112201,Drama
103,Jaws (1975),3,884207833,Action
104,Sneakers (1992),3,879572284,Crime
105,"Hunt for Red October, The (1990)",4,880314031,Action
106,Executive Decision (1996),5,880149074,Action
107,Microcosmos: Le peuple de l'herbe (1996),3,879283385,Documentary
108,"Last of the Mohicans, The (1992)",2,892335042,Action
109,Clear and Present Danger (1994),4,891016220,Action
110,Phenomenon (1996),4,888104191,Drama
111,Eye for an Eye (1996),1,882182634,Drama
112,True Lies (1994),4,887665549,Action
113,Extreme Measures (1996),3,878963086,Drama
114,"Full Monty, The (1997)",4,885328991,Comedy
115,"Ghost and the Darkness, The (1996)",4,891719774,Action
116,Hoodlum (1997),3,888442436,Crime
117,"Wild Bunch, The (1969)",4,884534968,Western
118,GoodFellas (1990),4,879967225,Crime
119,Delicatessen (1991),3,891351287,Comedy
120,Mars Attacks! (1996),1,888203658,Action
121,What's Eating Gilbert Grape (1993),3,878104594,Comedy
122,"Birdcage, The (1996)",4,874954497,Comedy
123,Crash (1996),2,888904353,Drama
124,Cape Fear (1962),4,884402860,Film-Noir
125,"Rock, The (1996)",4,891543241,Action
126,"American in Paris, An (1951)",4,889909691,Musical
127,Body Snatchers (1993),1,892433660,Horror
128,"Long Kiss Goodnight, The (1996)",3,882397502,Action
129,Blade Runner (1982),2,877717833,Film-Noir
130,Raiders of the Lost Ark (1981),4,887736696,Action
131,Chinatown (1974),5,875385007,Film-Noir
132,Fargo (1996),4,891698613,Crime
133,Body Snatchers (1993),5,884239744,Horror
134,Dante's Peak (1997),3,891206450,Action
135,Jeffrey (1995),5,879525987,Comedy
136,Lost Highway (1997),5,886047292,Mystery
137,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3,875309344,Comedy
138,Secrets & Lies (1996),5,877889186,Drama
139,Star Trek: The Wrath of Khan (1982),3,892079190,Action
140,Escape from L.A. (1996),3,888104805,Action
141,Heathers (1989),2,889740286,Comedy
142,"Devil's Own, The (1997)",1,889237247,Action
143,Duck Soup (1933),3,889180338,Comedy
144,Glengarry Glen Ross (1992),5,876862078,Drama
145,Toy Story (1995),4,880563619,Animation
146,"Truth About Cats & Dogs, The (1996)",5,880148782,Comedy
147,Somewhere in Time (1980),3,880606533,Drama
148,Speed (1994),4,882659211,Action
149,Mighty Aphrodite (1995),4,878955139,Comedy
150,Harold and Maude (1971),5,874871766,Comedy
151,Sabrina (1995),1,885679157,Comedy
152,Sleepless in Seattle (1993),4,878183336,Comedy
153,"Postino, Il (1994)",5,891390014,Drama
154,Forget Paris (1995),1,875743735,Comedy
155,Body Snatchers (1993),5,891712535,Horror
156,Sneakers (1992),3,884921380,Crime
157,Dead Poets Society (1989),5,880245145,Drama
158,"Rock, The (1996)",1,891388600,Action
159,Death and the Maiden (1994),4,879467936,Drama
160,"Postman, The (1997)",3,891170191,Drama
161,Harriet the Spy (1996),3,879543457,Children's
162,Basquiat (1996),1,878962774,Drama
163,"Rock, The (1996)",4,880915674,Action
164,Contact (1997),5,878886261,Drama
165,Serial Mom (1994),3,882141727,Comedy
166,Murder at 1600 (1997),3,883277645,Mystery
167,Scream (1996),4,879949367,Horror
168,Lawnmower Man 2: Beyond Cyberspace (1996),2,881011217,Sci-Fi
169,"Inkwell, The (1994)",4,892335707,Comedy
170,"Silence of the Lambs, The (1991)",4,891171357,Drama
171,GoodFellas (1990),3,883498790,Crime
172,Aliens (1986),5,875652981,Action
173,When Harry Met Sally... (1989),4,892513864,Comedy
174,Executive Decision (1996),5,889402160,Action
175,Back to the Future (1985),4,883956122,Comedy
176,Air Force One (1997),4,891409422,Action
177,Benny & Joon (1993),2,884113635,Comedy
178,"Godfather: Part II, The (1974)",4,891383561,Action
179,Star Trek: First Contact (1996),3,877136243,Action
180,Rumble in the Bronx (1995),4,880415847,Action
181,"Paper, The (1994)",4,881060578,Comedy
182,Air Force One (1997),3,890588925,Action
183,Beyond Rangoon (1995),4,888206254,Drama
184,Pulp Fiction (1994),5,877719863,Crime
185,Three Colors: Red (1994),4,882140425,Drama
186,Fried Green Tomatoes (1991),4,882076782,Drama
187,"Thin Man, The (1934)",3,887737293,Mystery
188,Cape Fear (1991),5,875074667,Thriller
189,Fierce Creatures (1997),4,879880076,Comedy
190,Pulp Fiction (1994),4,888626041,Crime
191,"Aristocats, The (1970)",3,875721196,Animation
192,"Brady Bunch Movie, The (1995)",4,891354257,Comedy
193,Aliens (1986),3,881107178,Action
194,Heathers (1989),4,879467985,Comedy
195,Aliens (1986),4,889737567,Action
196,"Fast, Cheap & Out of Control (1997)",4,879283008,Documentary
197,"Relic, The (1997)",2,874795772,Horror
198,"Empire Strikes Back, The (1980)",4,879196847,Action
199,Young Frankenstein (1974),4,878347420,Comedy
200,"Graduate, The (1967)",4,891435357,Drama
201,"Crow, The (1994)",5,884922341,Action
202,"Big Sleep, The (1946)",5,883325944,Film-Noir
203,It's a Wonderful Life (1946),4,879024043,Drama
204,Akira (1988),2,884112029,Adventure
205,Ed Wood (1994),2,879794599,Comedy
206,Groundhog Day (1993),5,882076211,Comedy
207,"Rock, The (1996)",4,876767822,Action
208,"Time to Kill, A (1996)",3,882823978,Drama
209,"Silence of the Lambs, The (1991)",5,874951657,Drama
210,Aladdin (1992),5,877888168,Animation
211,Home for the Holidays (1995),5,882165135,Drama
212,Bean (1997),4,883868647,Comedy
213,"Hunchback of Notre Dame, The (1996)",3,891549713,Animation
214,"Age of Innocence, The (1993)",4,880130155,Drama
215,Star Trek: The Motion Picture (1979),3,876198328,Action
216,Courage Under Fire (1996),4,874833746,Drama
217,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3,892132171,Comedy
218,French Twist (Gazon maudit) (1995),1,878962996,Comedy
219,"Hunchback of Notre Dame, The (1996)",3,874951617,Animation
220,This Is Spinal Tap (1984),4,882826944,Comedy
221,Moll Flanders (1996),4,883876961,Drama
222,Chasing Amy (1997),4,879013684,Drama
223,Diabolique (1996),4,891353892,Drama
224,Angels and Insects (1995),3,875748004,Drama
225,"Kiss Me, Guido (1997)",1,878961585,Comedy
226,Demolition Man (1993),4,874835242,Action
227,"Killing Fields, The (1984)",5,891352659,Drama
228,"House of the Spirits, The (1993)",5,879519266,Drama
229,Scream (1996),3,888904327,Horror
230,Marvin's Room (1996),3,879438857,Drama
231,Batman Returns (1992),2,878769815,Action
232,Return of the Jedi (1983),5,885680138,Action
233,Paradise Lost: The Child Murders at Robin Hood Hills (1996),1,882397010,Documentary
234,Jurassic Park (1993),2,879524216,Action
235,True Lies (1994),5,884365284,Action
236,Funny Face (1957),4,880132012,Comedy
237,Forrest Gump (1994),4,881107375,Comedy
238,"Piano, The (1993)",5,892135347,Drama
239,"Godfather, The (1972)",5,891351728,Action
240,"River Wild, The (1994)",4,879023390,Action
241,Austin Powers: International Man of Mystery (1997),3,888465675,Comedy
242,Maverick (1994),4,879519009,Action
243,"Perfect World, A (1993)",2,884112352,Action
244,Giant (1956),3,892334609,Drama
245,"Philadelphia Story, The (1940)",5,889178986,Comedy
246,"Crucible, The (1996)",3,877821514,Drama
247,Raiders of the Lost Ark (1981),5,882145548,Action
248,Judgment Night (1993),3,884366010,Action
249,"Love Bug, The (1969)",3,880308959,Children's
250,His Girl Friday (1940),3,880131497,Comedy
251,To Kill a Mockingbird (1962),4,891439057,Drama
252,Executive Decision (1996),4,880557347,Action
253,"Good, The Bad and The Ugly, The (1966)",5,884749360,Action
254,Liar Liar (1997),2,883599938,Comedy
255,Jackie Chan's First Strike (1996),3,891371506,Action
256,In the Line of Fire (1993),3,875744321,Action
257,"Blues Brothers, The (1980)",3,889503233,Action
258,"Godfather, The (1972)",5,881171760,Action
259,Braveheart (1995),5,889069741,Action
260,Deconstructing Harry (1997),4,887066556,Comedy
261,Swimming with Sharks (1995),4,875306580,Comedy
262,Titanic (1997),4,891679901,Action
263,"Sword in the Stone, The (1963)",4,891723086,Animation
264,Man of the House (1995),2,886989501,Comedy
265,Ponette (1996),4,879436137,Drama
266,Dante's Peak (1997),1,879466214,Action
267,Mystery Science Theater 3000: The Movie (1996),4,884304396,Comedy
268,"First Wives Club, The (1996)",2,882141997,Comedy
269,"Last of the Mohicans, The (1992)",4,891354053,Action
270,2001: A Space Odyssey (1968),5,879872868,Drama
271,Timecop (1994),3,880582856,Action
272,"Usual Suspects, The (1995)",5,888204260,Crime
273,"39 Steps, The (1935)",5,885852611,Thriller
274,Cinema Paradiso (1988),4,888204430,Comedy
275,Thinner (1996),2,874786831,Horror
276,Star Wars (1977),5,884239471,Action
277,"Man Who Would Be King, The (1975)",5,890881433,Adventure
278,Dances with Wolves (1990),4,882399357,Adventure
279,Crash (1996),4,879525672,Drama
280,High School High (1996),2,879543988,Comedy
281,"Killing Fields, The (1984)",3,888082658,Drama
282,What's Eating Gilbert Grape (1993),1,875306767,Comedy
283,Clerks (1994),4,875308843,Comedy
284,Mad Love (1995),1,888908041,Drama
285,Loch Ness (1995),1,874951797,Horror
286,"Fugitive, The (1993)",4,875653198,Action
287,Spy Hard (1996),3,875635431,Comedy
288,Seven (Se7en) (1995),5,875335124,Crime
289,Homage (1995),1,878962279,Drama
290,Good Will Hunting (1997),4,893110061,Drama
291,"39 Steps, The (1935)",3,879454793,Thriller
292,Real Genius (1985),4,891905032,Comedy
293,GoodFellas (1990),5,879467105,Crime
294,"Man Who Would Be King, The (1975)",4,879521167,Adventure
295,Toy Story (1995),3,882181396,Animation
296,Maverick (1994),4,878769888,Action
297,Amos & Andrew (1993),1,879554453,Comedy
298,Scream 2 (1997),3,885678304,Horror
299,Pinocchio (1940),3,879522445,Animation
300,Somewhere in Time (1980),4,884365018,Drama
301,Amadeus (1984),4,887820828,Drama
302,"English Patient, The (1996)",5,874953892,Drama
303,Excess Baggage (1997),2,882140792,Adventure
304,"Secret Garden, The (1993)",3,884150236,Children's
305,"Crossing Guard, The (1995)",1,875271312,Drama
306,Tin Cup (1996),5,883955441,Comedy
307,"Ref, The (1994)",3,874791871,Comedy
308,Dial M for Murder (1954),4,884365451,Mystery
309,M*A*S*H (1970),5,885849164,Comedy
310,"American President, The (1995)",5,882165066,Comedy
311,Raiders of the Lost Ark (1981),5,891350757,Action
312,Star Trek: First Contact (1996),4,880731778,Action
313,Speechless (1994),3,892838591,Comedy
314,Naked (1993),4,884305004,Drama
315,"Godfather, The (1972)",5,884535084,Action
316,Pretty Woman (1990),4,878973276,Comedy
317,Jack (1996),4,883697655,Comedy
318,3 Ninjas: High Noon At Mega Mountain (1998),1,884538485,Action
319,"Princess Bride, The (1987)",5,879454100,Action
320,Barcelona (1994),5,888205463,Comedy
321,Private Benjamin (1980),3,888907702,Comedy
322,"Birds, The (1963)",3,879375080,Horror
323,Friday (1995),4,874792040,Comedy
324,Indiana Jones and the Last Crusade (1989),5,880484975,Action
325,Devil in a Blue Dress (1995),4,879525342,Crime
326,Bonnie and Clyde (1967),5,877718168,Crime
327,Seven (Se7en) (1995),2,879669401,Crime
328,Star Trek VI: The Undiscovered Country (1991),4,878888067,Action
329,"Clockwork Orange, A (1971)",5,879466491,Sci-Fi
330,Kama Sutra: A Tale of Love (1996),3,883600066,Romance
331,Ghost (1990),4,884129029,Comedy
332,187 (1997),3,879552065,Drama
333,"Cook the Thief His Wife & Her Lover, The (1989)",3,884208651,Drama
334,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",5,876953744,Drama
335,"People vs. Larry Flynt, The (1996)",3,885272779,Drama
336,Immortal Beloved (1994),5,879517682,Drama
337,True Romance (1993),4,877721905,Action
338,Murder at 1600 (1997),5,886397723,Mystery
339,"Quick and the Dead, The (1995)",3,890451433,Action
340,"Postino, Il (1994)",4,875504876,Drama
341,Touch of Evil (1958),4,881105442,Crime
342,Blown Away (1994),3,874834944,Action
343,"Fugitive, The (1993)",3,877442037,Action
344,GoldenEye (1995),4,878090414,Action
345,Toy Story (1995),3,875379445,Animation
346,Live Nude Girls (1995),4,875298330,Comedy
347,"Modern Affair, A (1995)",1,888465068,Romance
348,Liar Liar (1997),4,890454217,Comedy
349,Weekend at Bernie's (1989),3,877533472,Comedy
350,"Shining, The (1980)",4,885046420,Horror
351,Miller's Crossing (1990),3,884365451,Drama
352,Ransom (1996),3,886893063,Drama
353,Dead Poets Society (1989),3,879524007,Drama
354,"Great White Hype, The (1996)",4,874833962,Comedy
355,Real Genius (1985),4,877878342,Comedy
356,Dead Man Walking (1995),4,888333458,Drama
357,What Happened Was... (1994),2,884304979,Comedy
358,Angels and Insects (1995),4,874954763,Drama
359,Angels and Insects (1995),1,878962919,Drama
360,Down Periscope (1996),4,882824671,Comedy
361,"First Wives Club, The (1996)",2,876534124,Comedy
362,Alien 3 (1992),1,883613372,Action
363,Star Trek: First Contact (1996),4,888705295,Action
364,Breaking the Waves (1996),5,887431921,Drama
365,Wallace & Gromit: The Best of Aardman Animation (1996),5,883954950,Animation
366,"Crucible, The (1996)",5,879217689,Drama
367,Cinema Paradiso (1988),4,877125221,Comedy
368,"Shawshank Redemption, The (1994)",5,888105140,Drama
369,"Fugitive, The (1993)",4,891544306,Action
370,Face/Off (1997),4,882693569,Action
371,It's a Wonderful Life (1946),5,884051921,Drama
372,Schindler's List (1993),5,875245690,Drama
373,Conspiracy Theory (1997),4,875975061,Action
374,"Craft, The (1996)",3,874951616,Drama
375,Father of the Bride Part II (1995),3,886443582,Comedy
376,Vertigo (1958),2,877196504,Mystery
377,Ransom (1996),3,874951617,Drama
378,Bound (1996),4,880035588,Crime
379,High School High (1996),2,886443728,Comedy
380,Brazil (1985),4,877117651,Sci-Fi
381,Crimson Tide (1995),3,875072144,Drama
382,M*A*S*H (1970),4,879376515,Comedy
383,Rear Window (1954),4,878347420,Mystery
384,Barcelona (1994),2,887819021,Comedy
385,Amadeus (1984),5,885848448,Drama
386,Ulee's Gold (1997),3,886047918,Drama
387,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",5,888549988,Drama
388,Fried Green Tomatoes (1991),4,879988422,Drama
389,Indiana Jones and the Last Crusade (1989),1,891449608,Action
390,"Baby-Sitters Club, The (1995)",4,877889398,Children's
391,"Godfather: Part II, The (1974)",3,890118340,Action
392,One Fine Day (1996),3,880557387,Drama
393,Chinatown (1974),5,888905760,Film-Noir
394,"Adventures of Priscilla, Queen of the Desert, The (1994)",4,875312947,Comedy
395,That Darn Cat! (1997),5,887938392,Children's
396,Thinner (1996),1,878962955,Horror
397,Rob Roy (1995),4,882827689,Drama
398,"Hunt for Red October, The (1990)",4,891016853,Action
399,"Boot, Das (1981)",4,879303571,Action
400,Snow White and the Seven Dwarfs (1937),3,875744744,Animation
401,Dark City (1998),5,886960055,Film-Noir
402,"Cable Guy, The (1996)",3,888465739,Comedy
403,12 Angry Men (1957),5,883326399,Drama
404,Devil in a Blue Dress (1995),3,891410082,Crime
405,I Know What You Did Last Summer (1997),1,889123377,Horror
406,Mediterraneo (1991),4,891385250,Comedy
407,Swingers (1996),5,874813703,Comedy
408,"Sound of Music, The (1965)",4,890116163,Musical
409,Sunset Blvd. (1950),5,891013496,Film-Noir
410,Dead Man Walking (1995),3,885272558,Drama
411,Barb Wire (1996),2,890251747,Action
412,"Long Kiss Goodnight, The (1996)",3,876311473,Action
413,Rosencrantz and Guildenstern Are Dead (1990),3,875239346,Comedy
414,Anaconda (1997),2,880732131,Action
415,Toy Story (1995),4,880126083,Animation
416,Heathers (1989),4,881059876,Comedy
417,"Age of Innocence, The (1993)",5,876955689,Drama
418,Sneakers (1992),2,880474451,Crime
419,Seven (Se7en) (1995),4,882076291,Crime
420,Indiana Jones and the Last Crusade (1989),5,884749227,Action
421,"River Wild, The (1994)",2,880571919,Action
422,Heavenly Creatures (1994),2,884112537,Drama
423,Twister (1996),2,876533764,Action
424,GoldenEye (1995),3,889737609,Action
425,"English Patient, The (1996)",4,881449486,Drama
426,Basic Instinct (1992),3,875073180,Mystery
427,In the Line of Fire (1993),4,889655162,Action
428,"Sting, The (1973)",3,877488546,Comedy
429,Forrest Gump (1994),3,880129527,Comedy
430,Jerry Maguire (1996),5,880602334,Drama
431,"Quiet Man, The (1952)",4,889655662,Comedy
432,Mary Shelley's Frankenstein (1994),2,891905936,Drama
433,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",4,892335989,Drama
434,Jurassic Park (1993),5,878542589,Action
435,Young Frankenstein (1974),3,891015167,Comedy
436,Much Ado About Nothing (1993),5,879967691,Comedy
437,Fargo (1996),4,889655550,Crime
438,E.T. the Extra-Terrestrial (1982),4,879517372,Children's
439,"Godfather, The (1972)",5,888625200,Action
440,Keys to Tulsa (1997),4,884110735,Crime
441,Dumbo (1941),2,881060331,Animation
442,My Life as a Dog (Mitt liv som hund) (1985),4,878191679,Drama
443,Scream 2 (1997),4,882826398,Horror
444,"Abyss, The (1989)",3,884112627,Action
445,Star Trek: Generations (1994),4,881108548,Action
446,"Trigger Effect, The (1996)",3,877819897,Drama
447,Liar Liar (1997),2,889237224,Comedy
448,Ransom (1996),4,885852569,Drama
449,"Fugitive, The (1993)",4,885882967,Action
450,First Knight (1995),1,891904717,Action
451,GoodFellas (1990),4,886374497,Crime
452,Sleepers (1996),3,887738104,Crime
453,"Professional, The (1994)",4,878347455,Crime
454,Mission: Impossible (1996),5,875379794,Action
455,"Lost World: Jurassic Park, The (1997)",3,875743182,Action
456,"Lion King, The (1994)",5,875801695,Animation
457,Star Wars (1977),5,874953665,Action
458,Braveheart (1995),5,892836395,Action
459,Donnie Brasco (1997),3,885613152,Crime
460,Soul Food (1997),3,876680723,Drama
461,Deconstructing Harry (1997),3,885844666,Comedy
462,Prefontaine (1997),5,879877951,Drama
463,Sabrina (1995),3,883681351,Comedy
464,Mystery Science Theater 3000: The Movie (1996),4,875747731,Comedy
465,Broken Arrow (1996),2,878739519,Action
466,"Shawshank Redemption, The (1994)",5,878770169,Drama
467,Groundhog Day (1993),4,884066713,Comedy
468,Four Weddings and a Funeral (1994),3,881109148,Comedy
469,Good Will Hunting (1997),4,883243972,Drama
470,M*A*S*H (1970),4,879438092,Comedy
471,Evita (1996),4,879029543,Drama
472,"Empire Strikes Back, The (1980)",3,891449031,Action
473,Death and the Maiden (1994),3,888205088,Drama
474,"Terminator, The (1984)",4,888801360,Action
475,Everyone Says I Love You (1996),2,890618198,Comedy
476,Liar Liar (1997),4,883696547,Comedy
477,Outbreak (1995),2,887740254,Action
478,Carrie (1976),4,878955598,Horror
479,Dracula: Dead and Loving It (1995),1,885679533,Comedy
480,Breakfast at Tiffany's (1961),5,891449728,Drama
481,Cop Land (1997),1,879466166,Crime
482,Pretty Woman (1990),5,891384789,Comedy
483,Shallow Grave (1994),4,884921380,Thriller
484,"Abyss, The (1989)",3,877533586,Action
485,Star Trek IV: The Voyage Home (1986),3,891015049,Action
486,Dante's Peak (1997),2,891549017,Action
487,Made in America (1993),2,892993786,Comedy
488,Love and Death on Long Island (1997),1,892014908,Comedy
489,Toy Story (1995),4,891549324,Animation
490,Jerry Maguire (1996),4,888104258,Drama
491,Contact (1997),3,879435606,Drama
492,Outbreak (1995),4,877888892,Action
493,Babe (1995),5,880134948,Children's
494,Boxing Helena (1993),1,875087656,Mystery
495,Mission: Impossible (1996),1,891450902,Action
496,Chain Reaction (1996),4,880557824,Action
497,"Sound of Music, The (1965)",5,879454793,Musical
498,Taxi Driver (1976),4,879376606,Drama
499,Primal Fear (1996),4,892281779,Drama
500,"Ref, The (1994)",3,875812364,Comedy
501,Strictly Ballroom (1992),5,879828941,Comedy
502,"Full Monty, The (1997)",3,891544049,Comedy
503,"Abyss, The (1989)",4,878181768,Action
504,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),5,888625200,Sci-Fi
505,Seven (Se7en) (1995),4,884749255,Crime
506,Bed of Roses (1996),1,879455843,Drama
507,Back to the Future (1985),5,881107821,Comedy
508,"Game, The (1997)",4,888179565,Mystery
509,High School High (1996),1,886016480,Comedy
510,"Shining, The (1980)",5,883263374,Horror
511,Amadeus (1984),4,880314797,Drama
512,"Crucible, The (1996)",3,891699295,Drama
513,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4,891448823,Sci-Fi
514,Money Train (1995),3,882398410,Action
515,Sabrina (1954),3,892079373,Comedy
516,"Hunt for Red October, The (1990)",4,884067503,Action
517,Mimic (1997),4,891438583,Sci-Fi
518,Sleeper (1973),4,884149877,Comedy
519,Clear and Present Danger (1994),4,878537558,Action
520,Dances with Wolves (1990),4,886629750,Adventure
521,Highlander (1986),2,885047822,Action
522,"Silence of the Lambs, The (1991)",4,891656300,Drama
523,Deconstructing Harry (1997),1,892151565,Comedy
524,"Lost World: Jurassic Park, The (1997)",4,883868598,Action
525,Legends of the Fall (1994),5,876546753,Drama
526,Beyond Rangoon (1995),3,876406977,Drama
527,Pinocchio (1940),4,879518378,Animation
528,True Lies (1994),4,888205659,Action
529,Sense and Sensibility (1995),5,874774575,Drama
530,Looking for Richard (1996),3,891698174,Documentary
531,Fargo (1996),5,875244125,Crime
532,Air Force One (1997),2,880130434,Action
533,Chinatown (1974),3,891171357,Film-Noir
534,"Blues Brothers, The (1980)",3,879669040,Action
535,Vegas Vacation (1997),4,875297410,Comedy
536,Aliens (1986),5,881012028,Action
537,Hard Target (1993),1,884923471,Action
538,"Terminator, The (1984)",4,876453626,Action
539,"Godfather, The (1972)",5,881007272,Action
540,Fierce Creatures (1997),3,888551441,Comedy
541,Sabrina (1954),3,891449922,Comedy
542,Donnie Brasco (1997),3,877563353,Crime
543,Lord of Illusions (1995),1,883216672,Horror
544,Dead Man Walking (1995),3,882074291,Drama
545,Nine Months (1995),4,891036021,Comedy
546,"Killing Fields, The (1984)",4,884128426,Drama
547,Nikita (La Femme Nikita) (1990),5,891628392,Thriller
548,"Big Sleep, The (1946)",5,880133288,Film-Noir
549,Rumble in the Bronx (1995),4,877819761,Action
550,Belle de jour (1967),3,891032765,Drama
551,Jerry Maguire (1996),4,883526268,Drama
552,"Day the Earth Stood Still, The (1951)",5,891904335,Drama
553,Full Metal Jacket (1987),3,888906288,Action
554,Love! Valour! Compassion! (1997),3,884994606,Drama
555,Gone with the Wind (1939),4,885882685,Drama
556,Star Trek: Generations (1994),4,882995704,Action
557,Talking About Sex (1994),1,879454892,Comedy
558,Star Trek VI: The Undiscovered Country (1991),2,879968946,Action
559,Mighty Aphrodite (1995),3,875249210,Comedy
560,Diabolique (1996),2,874951447,Drama
561,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),5,887431973,Drama
562,Boogie Nights (1997),3,891374707,Drama
563,Kolya (1996),4,883589606,Comedy
564,Return of the Jedi (1983),4,884535374,Action
565,Shallow Grave (1994),5,884197330,Thriller
566,Thirty-Two Short Films About Glenn Gould (1993),4,887739212,Documentary
567,White Man's Burden (1995),1,874868629,Drama
568,"Room with a View, A (1986)",5,877128388,Drama
