id,name,age,score,category
69,GoodFellas (1990),50,3.0,Crime
"70,""Shadow, The (1994)"",51,3.0,Action"
71,Shiloh (1997),49,3.0,Children's
72,That Thing You Do! (1996),43,4.0,Comedy
73,Lost Highway (1997),46,3.0,Mystery
"74,""Brothers McMullen, The (1995)"",19,4.0,Comedy"
"75,""Nightmare on Elm Street, A (1984)"",22,4.0,Horror"
76,Con Air (1997),24,4.0,Action
77,Apollo 13 (1995),36,5.0,Action
78,Sleepers (1996),33,4.0,Crime
"79,""Bye Bye, Love (1995)"",25,3.0,Comedy"
80,Scream (1996),21,5.0,Horror
81,Robin Hood: Men in Tights (1993),25,3.0,Comedy
82,Speed (1994),42,2.0,Action
83,Fargo (1996),37,4.0,Crime
84,Much Ado About Nothing (1993),38,5.0,Comedy
85,Harold and Maude (1971),43,2.0,Comedy
86,Evita (1996),38,1.0,Drama
87,Bed of Roses (1996),31,3.0,Drama
"88,""Truth About Cats & Dogs, The (1996)"",36,4.0,Comedy"
89,Starship Troopers (1997),27,3.0,Action
"90,""Full Monty, The (1997)"",30,5.0,Comedy"
91,When We Were Kings (1996),39,3.0,Documentary
92,Brazil (1985),24,5.0,Sci-Fi
93,James and the Giant Peach (1996),33,5.0,Animation
94,Phenomenon (1996),47,4.0,Drama
95,Ran (1985),46,5.0,Drama
96,Independence Day (ID4) (1996),29,1.0,Action
97,Henry V (1989),28,5.0,Drama
98,Gigi (1958),53,4.0,Musical
99,Seven (Se7en) (1995),24,4.0,Crime
100,Star Wars (1977),53,4.0,Action
101,Freeway (1996),19,4.0,Crime
102,Face/Off (1997),30,4.0,Action
103,GoodFellas (1990),35,5.0,Crime
104,Phenomenon (1996),24,4.0,Drama
"105,""City of Lost Children, The (1995)"",23,5.0,Adventure"
106,Manny & Lo (1996),18,3.0,Drama
"107,""Terminator, The (1984)"",35,3.0,Action"
108,Muriel's Wedding (1994),32,3.0,Comedy
109,That Thing You Do! (1996),40,3.0,Comedy
110,Beautiful Girls (1996),17,2.0,Drama
111,Dances with Wolves (1990),21,3.0,Adventure
112,Virtuosity (1995),27,2.0,Sci-Fi
113,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),18,3.0,Comedy
114,Dead Man Walking (1995),27,4.0,Drama
115,Pink Floyd - The Wall (1982),21,3.0,Drama
"116,""Empire Strikes Back, The (1980)"",20,5.0,Action"
"117,""Crow, The (1994)"",27,3.0,Action"
118,Leaving Las Vegas (1995),23,5.0,Drama
119,Diabolique (1996),49,4.0,Drama
"120,""Family Thing, A (1996)"",39,4.0,Comedy"
121,Miami Rhapsody (1995),53,4.0,Comedy
122,Sirens (1994),33,3.0,Comedy
"123,""Associate, The (1996)"",27,2.0,Comedy"
124,Twelfth Night (1996),35,4.0,Comedy
125,Jane Eyre (1996),48,4.0,Drama
126,Homeward Bound II: Lost in San Francisco (1996),48,2.0,Adventure
127,Death and the Maiden (1994),27,2.0,Drama
128,Jaws (1975),52,4.0,Action
129,My Favorite Year (1982),65,4.0,Comedy
130,Midnight Dancers (Sibak) (1994),32,3.0,Comedy
131,Interview with the Vampire (1994),27,3.0,Drama
132,Chasing Amy (1997),22,4.0,Drama
133,Anna Karenina (1997),51,5.0,Drama
134,Star Trek IV: The Voyage Home (1986),29,5.0,Action
135,Harold and Maude (1971),37,4.0,Comedy
"136,""To Have, or Not (1995)"",22,1.0,Drama"
"137,""Last Supper, The (1995)"",46,3.0,Drama"
138,Tin Cup (1996),22,2.0,Comedy
139,In the Company of Men (1997),22,3.0,Drama
140,Seven (Se7en) (1995),19,4.0,Crime
141,Chinatown (1974),50,3.0,Film-Noir
"142,""Little Princess, A (1995)"",24,2.0,Children's"
143,Star Wars (1977),28,5.0,Action
144,Toy Story (1995),30,4.0,Animation
145,Mr. Wrong (1996),29,3.0,Comedy
146,Deceiver (1997),23,2.0,Crime
147,Fierce Creatures (1997),53,3.0,Comedy
148,Forrest Gump (1994),20,4.0,Comedy
"149,""Island of Dr. Moreau, The (1996)"",13,3.0,Sci-Fi"
150,Apollo 13 (1995),40,4.0,Action
151,Dumb & Dumber (1994),13,3.0,Comedy
152,Air Force One (1997),57,3.0,Action
153,Jackie Brown (1997),48,4.0,Crime
"154,""Secret of Roan Inish, The (1994)"",42,4.0,Adventure"
155,Good Will Hunting (1997),50,5.0,Drama
156,Scream (1996),18,3.0,Horror
157,Mary Poppins (1964),24,3.0,Children's
158,Three Colors: Red (1994),23,3.0,Drama
159,Under Siege (1992),39,4.0,Action
"160,""Nutty Professor, The (1996)"",24,4.0,Comedy"
161,In & Out (1997),56,4.0,Comedy
162,Diva (1981),43,2.0,Action
163,Groundhog Day (1993),23,4.0,Comedy
164,Cats Don't Dance (1997),51,5.0,Animation
165,Striking Distance (1993),41,3.0,Action
"166,""Day the Earth Stood Still, The (1951)"",32,4.0,Drama"
167,Red Rock West (1992),27,2.0,Thriller
168,Blown Away (1994),19,3.0,Action
169,Timecop (1994),26,2.0,Action
170,Shall We Dance? (1996),24,4.0,Comedy
"171,""Usual Suspects, The (1995)"",20,5.0,Crime"
172,Short Cuts (1993),30,4.0,Drama
173,Butch Cassidy and the Sundance Kid (1969),49,4.0,Action
"174,""Killing Fields, The (1984)"",35,3.0,Drama"
175,Midnight in the Garden of Good and Evil (1997),44,2.0,Comedy
176,Titanic (1997),42,5.0,Action
177,2 Days in the Valley (1996),48,3.0,Crime
178,Pulp Fiction (1994),44,4.0,Crime
179,Schindler's List (1993),24,5.0,Drama
180,Twister (1996),27,4.0,Action
"181,""Shawshank Redemption, The (1994)"",25,5.0,Drama"
182,Primary Colors (1998),20,4.0,Drama
183,Gone with the Wind (1939),24,3.0,Drama
"184,""Professional, The (1994)"",36,3.0,Crime"
185,Children of the Revolution (1996),19,3.0,Comedy
186,Blues Brothers 2000 (1998),19,3.0,Action
"187,""Cowboy Way, The (1994)"",28,2.0,Action"
188,Star Trek: Generations (1994),51,4.0,Action
"189,""Game, The (1997)"",21,5.0,Mystery"
190,This Is Spinal Tap (1984),35,5.0,Comedy
191,Mystery Science Theater 3000: The Movie (1996),25,5.0,Comedy
"192,""Game, The (1997)"",28,3.0,Mystery"
193,Independence Day (ID4) (1996),27,4.0,Action
194,Star Trek: First Contact (1996),23,2.0,Action
"195,""Rock, The (1996)"",59,4.0,Action"
"196,""Graduate, The (1967)"",35,5.0,Drama"
197,Disclosure (1994),27,3.0,Drama
198,Loaded (1994),26,3.0,Drama
199,Get Shorty (1995),43,3.0,Action
200,Big Night (1996),24,3.0,Drama
201,Twelve Monkeys (1995),30,4.0,Drama
202,Gandhi (1982),34,4.0,Drama
203,Pinocchio (1940),22,4.0,Animation
204,Star Trek: First Contact (1996),49,3.0,Action
205,Waterworld (1995),44,4.0,Action
"206,""Princess Bride, The (1987)"",38,5.0,Action"
207,I.Q. (1994),29,3.0,Comedy
208,Dirty Dancing (1987),21,1.0,Musical
"209,""20,000 Leagues Under the Sea (1954)"",40,4.0,Adventure"
210,Grumpier Old Men (1995),25,2.0,Comedy
211,Cape Fear (1991),20,4.0,Thriller
212,GoldenEye (1995),32,3.0,Action
"213,""Birdcage, The (1996)"",18,5.0,Comedy"
214,Crash (1996),40,4.0,Drama
215,Clueless (1995),52,4.0,Comedy
"216,""Smile Like Yours, A (1997)"",20,3.0,Comedy"
217,Austin Powers: International Man of Mystery (1997),49,2.0,Comedy
218,Liar Liar (1997),31,3.0,Comedy
"219,""Very Brady Sequel, A (1996)"",28,5.0,Comedy"
220,Dangerous Beauty (1998),47,5.0,Drama
221,Judge Dredd (1995),42,3.0,Action
"222,""Apostle, The (1997)"",36,4.0,Drama"
223,Mission: Impossible (1996),33,3.0,Action
"224,""English Patient, The (1996)"",27,3.0,Drama"
225,Pretty Woman (1990),60,5.0,Comedy
226,Desperado (1995),25,2.0,Action
"227,""Horse Whisperer, The (1998)"",30,4.0,Drama"
228,Timecop (1994),29,3.0,Action
229,Amadeus (1984),36,2.0,Drama
"230,""Crying Game, The (1992)"",39,2.0,Action"
231,B*A*P*S (1997),21,1.0,Comedy
232,Four Weddings and a Funeral (1994),36,4.0,Comedy
233,First Kid (1996),45,3.0,Children's
"234,""Postino, Il (1994)"",27,4.0,Drama"
"235,""Three Musketeers, The (1993)"",39,3.0,Action"
236,Leaving Las Vegas (1995),35,4.0,Drama
237,Wolf (1994),23,1.0,Drama
238,Mighty Aphrodite (1995),23,3.0,Comedy
239,Glory (1989),35,3.0,Action
"240,""Rock, The (1996)"",27,4.0,Action"
241,Apocalypse Now (1979),43,4.0,Drama
242,In & Out (1997),20,5.0,Comedy
243,Rosewood (1997),59,3.0,Drama
244,That Thing You Do! (1996),48,3.0,Comedy
245,Withnail and I (1987),32,2.0,Comedy
246,Twister (1996),42,3.0,Action
247,Demolition Man (1993),25,2.0,Action
"248,""Last of the Mohicans, The (1992)"",33,4.0,Action"
"249,""Empire Strikes Back, The (1980)"",44,4.0,Action"
250,Raging Bull (1980),33,5.0,Drama
251,Virtuosity (1995),34,1.0,Sci-Fi
252,Alien: Resurrection (1997),40,2.0,Action
253,Angels in the Outfield (1994),40,3.0,Children's
254,Bad Boys (1995),30,3.0,Action
255,Contact (1997),27,4.0,Drama
"256,""Deer Hunter, The (1978)"",31,4.0,Drama"
257,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),36,5.0,Sci-Fi
"258,""Great Dictator, The (1940)"",32,4.0,Comedy"
259,Seven Years in Tibet (1997),62,5.0,Drama
260,Weekend at Bernie's (1989),21,1.0,Comedy
261,Three Colors: Red (1994),27,5.0,Drama
262,Hercules (1997),40,3.0,Adventure
263,Secrets & Lies (1996),23,5.0,Drama
"264,""People vs. Larry Flynt, The (1996)"",29,4.0,Drama"
265,Casper (1995),26,4.0,Adventure
266,Donnie Brasco (1997),28,5.0,Crime
267,Raise the Red Lantern (1991),69,5.0,Drama
268,Dante's Peak (1997),57,4.0,Action
269,Shadowlands (1993),51,3.0,Drama
270,Career Girls (1997),36,3.0,Drama
271,Citizen Kane (1941),27,3.0,Drama
272,M*A*S*H (1970),31,1.0,Comedy
273,My Life as a Dog (Mitt liv som hund) (1985),37,4.0,Drama
"274,""Peacemaker, The (1997)"",27,3.0,Action"
275,Batman Forever (1995),45,2.0,Action
276,Boogie Nights (1997),22,4.0,Drama
277,Monty Python's Life of Brian (1979),25,4.0,Comedy
"278,""People vs. Larry Flynt, The (1996)"",57,4.0,Drama"
279,Serial Mom (1994),27,5.0,Comedy
280,Metro (1997),19,3.0,Action
281,Pretty Woman (1990),36,3.0,Comedy
282,Ill Gotten Gains (1997),53,3.0,Drama
283,One Flew Over the Cuckoo's Nest (1975),52,4.0,Drama
"284,""Truth About Cats & Dogs, The (1996)"",44,3.0,Comedy"
285,Dead Man (1995),49,5.0,Western
"286,""Usual Suspects, The (1995)"",28,5.0,Crime"
"287,""Treasure of the Sierra Madre, The (1948)"",42,5.0,Adventure"
"288,""Shawshank Redemption, The (1994)"",23,3.0,Drama"
289,Dave (1993),49,3.0,Comedy
290,Gandhi (1982),24,3.0,Drama
291,Wes Craven's New Nightmare (1994),27,2.0,Horror
292,Some Like It Hot (1959),51,4.0,Comedy
"293,""Game, The (1997)"",47,5.0,Mystery"
294,Ulee's Gold (1997),38,4.0,Drama
295,Big Night (1996),48,3.0,Drama
296,M (1931),22,1.0,Crime
297,Raising Arizona (1987),24,4.0,Comedy
298,U.S. Marshalls (1998),50,3.0,Action
"299,""Chamber, The (1996)"",19,2.0,Drama"
300,That Thing You Do! (1996),32,3.0,Comedy
301,Star Trek: First Contact (1996),37,5.0,Action
302,My Best Friend's Wedding (1997),15,2.0,Comedy
303,Titanic (1997),30,3.0,Action
304,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),50,5.0,Sci-Fi
305,Star Trek III: The Search for Spock (1984),36,3.0,Action
306,12 Angry Men (1957),19,4.0,Drama
307,Liar Liar (1997),25,1.0,Comedy
308,Unforgiven (1992),24,4.0,Western
309,Purple Noon (1960),32,3.0,Crime
"310,""First Wives Club, The (1996)"",48,4.0,Comedy"
"311,""Believers, The (1987)"",23,2.0,Horror"
312,Scream (1996),27,3.0,Horror
"313,""Third Man, The (1949)"",27,5.0,Mystery"
314,Circle of Friends (1995),25,1.0,Drama
"315,""Quick and the Dead, The (1995)"",30,2.0,Action"
316,Legends of the Fall (1994),28,4.0,Drama
317,Robocop 3 (1993),22,1.0,Sci-Fi
318,Swiss Family Robinson (1960),19,3.0,Adventure
319,Die Hard 2 (1990),27,3.0,Action
320,Dazed and Confused (1993),24,4.0,Comedy
321,In & Out (1997),15,3.0,Comedy
322,Carrie (1976),25,5.0,Horror
323,1-900 (1994),34,3.0,Romance
"324,""Crow, The (1994)"",22,3.0,Action"
325,Sense and Sensibility (1995),28,4.0,Drama
326,Village of the Damned (1995),27,2.0,Horror
"327,""English Patient, The (1996)"",23,1.0,Drama"
"328,""Devil's Advocate, The (1997)"",43,4.0,Crime"
329,Manhattan (1979),48,4.0,Comedy
"330,""Birds, The (1963)"",20,4.0,Horror"
"331,""Godfather, The (1972)"",43,4.0,Action"
332,Air Bud (1997),22,2.0,Children's
333,So I Married an Axe Murderer (1993),21,4.0,Comedy
334,Rocket Man (1997),23,2.0,Comedy
335,Butch Cassidy and the Sundance Kid (1969),34,2.0,Action
336,Oliver & Company (1988),22,1.0,Animation
"337,""American in Paris, An (1951)"",46,4.0,Musical"
338,Dead Man Walking (1995),63,5.0,Drama
339,Booty Call (1997),44,1.0,Comedy
340,True Lies (1994),50,1.0,Action
341,Monty Python's Life of Brian (1979),39,4.0,Comedy
342,She's the One (1996),20,4.0,Comedy
343,Jurassic Park (1993),30,2.0,Action
344,Dead Man Walking (1995),50,4.0,Drama
"345,""Jackal, The (1997)"",51,5.0,Action"
"346,""Bridge on the River Kwai, The (1957)"",24,4.0,Drama"
347,Trainspotting (1996),23,5.0,Drama
348,Blade Runner (1982),22,4.0,Film-Noir
349,Chasing Amy (1997),65,2.0,Drama
350,Air Force One (1997),35,4.0,Action
351,Ghost (1990),20,4.0,Comedy
"352,""River Wild, The (1994)"",39,3.0,Action"
"353,""Amityville Horror, The (1979)"",35,2.0,Horror"
354,Dear God (1996),25,3.0,Comedy
355,High Noon (1952),36,5.0,Western
356,Conan the Barbarian (1981),27,3.0,Action
357,Four Weddings and a Funeral (1994),27,4.0,Comedy
358,Tomorrow Never Dies (1997),20,5.0,Action
359,Trainspotting (1996),18,4.0,Drama
360,North by Northwest (1959),57,4.0,Comedy
361,Hot Shots! Part Deux (1993),35,3.0,Action
"362,""Fish Called Wanda, A (1988)"",29,2.0,Comedy"
363,Fargo (1996),58,5.0,Crime
364,To Die For (1995),31,4.0,Comedy
365,Species (1995),18,1.0,Sci-Fi
366,Bullets Over Broadway (1994),38,4.0,Comedy
367,Cape Fear (1991),42,5.0,Thriller
"368,""Sex, Lies, and Videotape (1989)"",28,4.0,Drama"
369,North by Northwest (1959),26,3.0,Comedy
370,Mr. Holland's Opus (1995),32,4.0,Drama
"371,""Lawnmower Man, The (1992)"",20,3.0,Action"
372,Full Metal Jacket (1987),24,3.0,Action
"373,""Close Shave, A (1995)"",25,5.0,Animation"
374,Conspiracy Theory (1997),20,3.0,Action
375,Tin Cup (1996),32,4.0,Comedy
376,Under Siege (1992),24,2.0,Action
377,Terminator 2: Judgment Day (1991),27,2.0,Action
378,GoodFellas (1990),27,3.0,Crime
379,Speed (1994),25,4.0,Action
"380,""Piano, The (1993)"",49,4.0,Drama"
381,L.A. Confidential (1997),22,4.0,Crime
382,Full Metal Jacket (1987),35,4.0,Action
"383,""Thin Man, The (1934)"",38,4.0,Mystery"
384,Faithful (1996),49,2.0,Comedy
385,Liar Liar (1997),28,4.0,Comedy
386,Basic Instinct (1992),24,3.0,Mystery
387,Reality Bites (1994),56,2.0,Comedy
"388,""Philadelphia Story, The (1940)"",30,4.0,Comedy"
"389,""Rock, The (1996)"",32,4.0,Action"
390,Waterworld (1995),27,1.0,Action
391,Boxing Helena (1993),19,1.0,Mystery
392,Much Ado About Nothing (1993),27,4.0,Comedy
393,Living in Oblivion (1995),27,4.0,Comedy
394,Contact (1997),30,3.0,Drama
395,Dead Man Walking (1995),17,4.0,Drama
"396,""Last of the Mohicans, The (1992)"",35,4.0,Action"
397,Return of the Jedi (1983),42,4.0,Action
398,Father of the Bride (1950),50,3.0,Comedy
399,Welcome to the Dollhouse (1995),33,5.0,Comedy
400,When Harry Met Sally... (1989),26,5.0,Comedy
401,Home Alone (1990),26,2.0,Children's
"402,""American President, The (1995)"",51,4.0,Comedy"
403,Heat (1995),23,5.0,Action
"404,""Simple Twist of Fate, A (1994)"",22,3.0,Drama"
"405,""Nutty Professor, The (1996)"",33,4.0,Comedy"
406,Reality Bites (1994),21,3.0,Comedy
407,My Life as a Dog (Mitt liv som hund) (1985),48,4.0,Drama
408,Seven (Se7en) (1995),27,5.0,Crime
409,Heat (1995),36,3.0,Action
410,Batman (1989),30,3.0,Action
411,E.T. the Extra-Terrestrial (1982),26,3.0,Children's
412,Star Wars (1977),47,5.0,Action
413,Cliffhanger (1993),26,3.0,Action
"414,""Sound of Music, The (1965)"",23,3.0,Musical"
415,Deconstructing Harry (1997),18,5.0,Comedy
416,Real Genius (1985),40,4.0,Comedy
417,Casablanca (1942),35,3.0,Drama
418,Tales from the Crypt Presents: Bordello of Blood (1996),24,2.0,Horror
419,Something to Talk About (1995),21,2.0,Comedy
420,Happy Gilmore (1996),26,5.0,Comedy
421,Bananas (1971),60,4.0,Comedy
422,E.T. the Extra-Terrestrial (1982),18,3.0,Children's
423,Return of the Jedi (1983),35,4.0,Action
424,Indiana Jones and the Last Crusade (1989),33,4.0,Action
425,It's a Wonderful Life (1946),26,5.0,Drama
426,Face/Off (1997),28,3.0,Action
427,Executive Decision (1996),31,4.0,Action
428,Toy Story (1995),38,4.0,Animation
429,Blade Runner (1982),20,4.0,Film-Noir
430,Fargo (1996),48,4.0,Crime
431,Wallace & Gromit: The Best of Aardman Animation (1996),25,5.0,Animation
432,Beauty and the Beast (1991),35,4.0,Animation
433,Alien (1979),20,4.0,Action
"434,""Program, The (1993)"",19,2.0,Action"
435,Conspiracy Theory (1997),19,4.0,Action
"436,""Phantom, The (1996)"",23,1.0,Adventure"
437,My Man Godfrey (1936),58,4.0,Comedy
438,Sneakers (1992),31,4.0,Crime
"439,""Professional, The (1994)"",13,3.0,Crime"
"440,""Last of the Mohicans, The (1992)"",60,2.0,Action"
441,Renaissance Man (1994),24,3.0,Comedy
442,Apollo 13 (1995),43,5.0,Action
443,Judge Dredd (1995),27,3.0,Action
"444,""Usual Suspects, The (1995)"",32,3.0,Crime"
445,Koyaanisqatsi (1983),27,5.0,Documentary
446,Ace Ventura: Pet Detective (1994),19,3.0,Comedy
447,Crumb (1994),56,4.0,Documentary
448,Jaws (1975),49,3.0,Action
449,Bram Stoker's Dracula (1992),30,2.0,Horror
450,Supercop (1992),25,3.0,Action
"451,""Shawshank Redemption, The (1994)"",42,4.0,Drama"
"452,""Last of the Mohicans, The (1992)"",23,4.0,Action"
"453,""Truth About Cats & Dogs, The (1996)"",22,3.0,Comedy"
454,Stealing Beauty (1996),28,3.0,Drama
455,Return of the Jedi (1983),38,5.0,Action
456,Jaws (1975),48,4.0,Action
457,How to Make an American Quilt (1995),50,3.0,Drama
"458,""Empire Strikes Back, The (1980)"",26,4.0,Action"
"459,""Empire Strikes Back, The (1980)"",45,4.0,Action"
460,Dante's Peak (1997),25,2.0,Action
461,Michael Collins (1996),21,2.0,Drama
462,Face/Off (1997),26,2.0,Action
"463,""Fish Called Wanda, A (1988)"",35,4.0,Comedy"
"464,""Scout, The (1994)"",19,2.0,Drama"
465,Alien (1979),39,5.0,Action
466,Brazil (1985),42,3.0,Sci-Fi
467,GoldenEye (1995),19,2.0,Action
468,Money Talks (1997),26,3.0,Action
469,Blade Runner (1982),40,5.0,Film-Noir
470,Natural Born Killers (1994),27,2.0,Action
471,Pretty Woman (1990),38,3.0,Comedy
"472,""Sword in the Stone, The (1963)"",27,4.0,Animation"
473,Grease (1978),30,4.0,Comedy
"474,""Hunchback of Notre Dame, The (1996)"",26,3.0,Animation"
475,Basquiat (1996),47,4.0,Drama
476,Dave (1993),25,4.0,Comedy
477,Terminator 2: Judgment Day (1991),28,5.0,Action
478,To Gillian on Her 37th Birthday (1996),26,2.0,Drama
479,Timecop (1994),23,2.0,Action
"480,""Postino, Il (1994)"",30,5.0,Drama"
"481,""Birdcage, The (1996)"",33,5.0,Comedy"
482,Back to the Future (1985),28,4.0,Comedy
483,Mrs. Doubtfire (1993),28,4.0,Comedy
484,When Harry Met Sally... (1989),21,4.0,Comedy
485,Around the World in 80 Days (1956),36,2.0,Adventure
486,Heathers (1989),32,2.0,Comedy
487,His Girl Friday (1940),35,3.0,Comedy
488,Citizen Ruth (1996),32,4.0,Comedy
489,Indiana Jones and the Last Crusade (1989),27,4.0,Action
490,Face/Off (1997),53,3.0,Action
"491,""Maltese Falcon, The (1941)"",48,5.0,Film-Noir"
492,Star Trek: First Contact (1996),38,4.0,Action
493,Jaws (1975),26,3.0,Action
494,Back to the Future (1985),40,4.0,Comedy
495,Highlander (1986),27,5.0,Action
"496,""Empire Strikes Back, The (1980)"",13,5.0,Action"
497,Singin' in the Rain (1952),19,5.0,Musical
498,Tank Girl (1995),28,4.0,Action
"499,""English Patient, The (1996)"",31,5.0,Drama"
500,Roman Holiday (1953),57,4.0,Comedy
501,To Kill a Mockingbird (1962),42,4.0,Drama
502,Star Trek: The Wrath of Khan (1982),60,3.0,Action
503,All About Eve (1950),27,3.0,Drama
504,Evita (1996),48,4.0,Drama
505,What's Eating Gilbert Grape (1993),27,3.0,Comedy
506,Koyaanisqatsi (1983),46,2.0,Documentary
507,Cinema Paradiso (1988),44,5.0,Comedy
508,Amistad (1997),32,5.0,Drama
509,Manon of the Spring (Manon des sources) (1986),27,3.0,Drama
510,Cinema Paradiso (1988),31,2.0,Comedy
511,Nikita (La Femme Nikita) (1990),42,5.0,Thriller
512,Maverick (1994),25,3.0,Action
513,Conspiracy Theory (1997),25,4.0,Action
"514,""Godfather: Part II, The (1974)"",26,4.0,Action"
515,Die Hard (1988),47,4.0,Action
"516,""Hunt for Red October, The (1990)"",22,2.0,Action"
517,Virtuosity (1995),20,4.0,Sci-Fi
518,Apocalypse Now (1979),19,5.0,Drama
519,Tank Girl (1995),30,3.0,Action
"520,""Grifters, The (1990)"",22,1.0,Crime"
521,Funny Face (1957),35,4.0,Comedy
522,First Knight (1995),34,3.0,Action
523,Waiting for Guffman (1996),47,3.0,Comedy
524,Crimson Tide (1995),27,3.0,Drama
"525,""Frighteners, The (1996)"",26,4.0,Comedy"
526,Grease (1978),46,2.0,Comedy
527,2001: A Space Odyssey (1968),27,3.0,Drama
528,Star Wars (1977),42,3.0,Action
529,Legends of the Fall (1994),28,5.0,Drama
530,Ghosts of Mississippi (1996),20,2.0,Drama
531,Henry V (1989),47,4.0,Drama
532,Henry V (1989),35,5.0,Drama
533,Stargate (1994),47,5.0,Action
534,I.Q. (1994),65,3.0,Comedy
535,Happy Gilmore (1996),25,2.0,Comedy
536,Jurassic Park (1993),27,4.0,Action
537,Sabrina (1995),20,1.0,Comedy
538,Willy Wonka and the Chocolate Factory (1971),30,3.0,Adventure
539,Romper Stomper (1992),28,3.0,Action
540,Batman Forever (1995),40,4.0,Action
541,Blue Sky (1994),27,4.0,Drama
542,Emma (1996),27,4.0,Drama
543,Something to Talk About (1995),25,4.0,Comedy
544,Ben-Hur (1959),44,3.0,Action
545,Stand by Me (1986),46,4.0,Adventure
546,In & Out (1997),57,4.0,Comedy
"547,""Crying Game, The (1992)"",18,3.0,Action"
"548,""Remains of the Day, The (1993)"",31,5.0,Drama"
"549,""Sound of Music, The (1965)"",22,5.0,Musical"
550,Dead Poets Society (1989),20,3.0,Drama
551,Welcome to the Dollhouse (1995),48,4.0,Comedy
552,Live Nude Girls (1995),33,4.0,Comedy
553,Raiders of the Lost Ark (1981),57,5.0,Action
"554,""Graduate, The (1967)"",54,4.0,Drama"
555,In & Out (1997),25,5.0,Comedy
556,Heathers (1989),27,5.0,Comedy
"557,""Family Thing, A (1996)"",26,3.0,Comedy"
558,Apt Pupil (1998),22,4.0,Drama
559,Secrets & Lies (1996),53,5.0,Drama
560,Sleepers (1996),29,2.0,Crime
561,Mouse Hunt (1997),32,4.0,Children's
562,Andre (1994),20,4.0,Adventure
